reviewer,rating,review_date,review,label,score
Umi Nurbaiti,5.0,2023-11-16 11:27:00,"Pakai traveloka bisa buat pulang kampung (mudik) lebih nyaman dengan penawaran transportasi yg ada di travaleko. Bagus banget, bs dicicil lagi. Tanks",Positive,0.9995001554489136
Gin akil,1.0,2023-10-06 07:31:00,"Akun traveloka susah untuk diakses, mandeg di logo burung. Harus di uninstal dulu, kemudian instal baru lagi, beberapakali saya mengalami ini. Traveloka jadi tidak nyaman untuk diakses kalau terus menerus seperti itu. Kalau hanya saya (karena perangkat), pasti bukan, karena dari sekian banyak app, HANYA traveloka yang suka ngadat... Ini editan komentar, setelah mendapat jawaban ""maaf bla bla bla.. "" Ngadatnya aplikasi ini masih terjadi. Sepertinya memang sangat berat kalau sudah dipakai",Negative,0.999832034111023
Muhammad Reihan,5.0,2023-11-07 12:21:00,"Aplikasi perjalanan ini luar biasa! Penggunaannya sangat intuitif, memungkinkan saya dengan mudah mencari dan memesan tiket pesawat, hotel, dan aktivitas wisata. Fitur penawaran khusus dan notifikasi harga sangat membantu. Selain itu, peta interaktif dan ulasan pengguna membantu saya merencanakan perjalanan dengan baik. Dengan dukungan pelanggan yang responsif dan layanan yang dapat diandalkan, aplikasi ini adalah teman perjalanan yang sempurna untuk petualangan Anda.",Positive,0.9996206760406494
abrar Rizki,5.0,2023-11-14 09:19:00,"Traveloka adalah platform perjalanan yang luar biasa, menghubungkan pengguna dengan pengalaman liburan yang tak terlupakan. Antarmuka yang intuitif membuatnya mudah digunakan, dan pilihan akomodasi serta penerbangan yang luas memastikan ada sesuatu untuk setiap jenis wisatawan.",Positive,0.9996159076690674
Okta Viani,5.0,2023-11-12 07:13:00,"Seneng banget nyari hotel pakai Traveloka, bisa sambil rebahan dirumah milih2 hotel yang sesuai keinginan dan budget kita, payment nya pun mudah, hotelnya juga bagus2 sekali.. Mau nyari kebutuhan travel kamu? Ya di Traveloka aja..",Positive,0.999622106552124
Jakok Really,5.0,2023-11-04 09:51:00,"Aplikasi nya mudah digunakan, sangat membantu mencari hotel yang nyaman, fiturnya banyak trus gampang, diskon nya mantap, best lah ni aplikasi traveloka",Positive,0.9996819496154785
Destia Amelia,5.0,2023-11-09 18:14:00,"Wowww??.....Aplikasi yang menawarkan banyak fitur yang mudah digunakan, seperti pencarian tiket pesawat, hotel, dan pemesanan tiket atraksi wisata. Selain itu, fitur perbandingan harga yang disediakan memungkinkan pengguna untuk menemukan penawaran terbaik. Selain kemudahan penggunaan, aplikasi ini juga sering memberikan promo dan diskon menarik, sehingga pengguna dapat menghemat lebih banyak uang.lup lup bet traveloka??",Positive,0.9918592572212219
Yasa,5.0,2023-11-02 06:19:00,"Pergi kemana saja menjadi mudah dengan traveloka, tidak kebingungan untuk memesan hotel dan transportasi Menjadikan perjalanan kita menjadi lebih mudah dan maksimal, daan yang paling penting sangat mudah tatacara pemesanan nya jadi untuk pemula tidak sulit untuk mencoba",Positive,0.9995513558387756
yulia purnama sari,5.0,2023-11-04 06:31:00,"Traveloka ini rekomendasi banget si ,karena bisa mencari tiket pesawat menggunakan sistem pencarian cerdas yang mampu menampilkan hasil lengkap dan akurat, dalam waktu singkat.",Positive,0.9995670914649963
Damayanti AF,5.0,2023-11-14 11:17:00,"dibandingkan dengan aplikasi yang lain, menurut saya traveloka sih yang terbaik.. banyak diskon dan aplikasi nya mudah untuk digunakan.. terimakasih traveloka?",Positive,0.9994511008262634
Adhe Putri,5.0,2023-11-13 10:45:00,"Setelah di bandingkan dengan aplikasi lain, cuma traveloka yang nyaman buat di gunakan secara mudah dan simple, fitur nya juga banyak dan sangat membantu, terimakasih traveloka",Positive,0.9994292855262756
Oching Star,1.0,2023-11-15 18:31:00,Awas jebakan dari Paylater nya Traveloka kawan!!! Kalau tidak mau kecewa jangan coba coba pakai jasa Payater Traveloka. Jangan sampai kalian kirim foto KTP dan foto diri kalian ke Traveloka. Karena pasti Mereka Seenak jidat menolak dan menghilangkan fitur Paylater di Traveloka kita Setelah bolak balik suruh perbaiki dan kirim data pribadi. Dan hapus data pribadi saya yg sudah terlanjur saya kirim ke Traveloka ! Saya laporkan polisi jika data saya disalahgunankan!,Negative,0.9996789693832397
Anggun Anggrit,5.0,2023-11-15 05:11:00,"Keren banget sih ini, kalo mau pergi2 ga bingung2 cari hotel sma tiket pesawatnya, pilihan hotel jg banyak dan terpilih, ga asal hotel dimasukin, tp dari hotel bintang 2 sampe hotel bintang 5 bisa dtemuin dsini semua, pembayaran jg gampang, ga repot2, thx traveloka, sukses selalu...",Positive,0.9994285702705383
Taufik Aza,1.0,2023-11-08 19:14:00,"Tanggal 6 bulan 11 saya sudah pesan tiket, tapi di batalkan oleh pihak maskapai lion air melalui traveloka, dan akhirnya saya me refund dana saya, alhasil belum balik sampai tgl sekarang. Tanggal 10 bulan 11 ini saya pesan lagi tiket pesawat untuk ke meulaboh, tapi alhasil di batalkan juga oleh pihak maskapai lion air. Dengan alasan terkendala oleh operasional. Enaknya dr pihak lion air, ketika ada pe refundan, malah terpotong 517 rb, enak banget ya cari uang dengan kaya ginian. Lion air PAYAH",Negative,0.9998087286949158
Maria Rosalina,4.0,2023-11-15 09:20:00,"Untuk pembayaran akan lebih baik kalo bekerjasama dengan ovo,gopay,shopeepay atau Dana...digital wallet yg jauh lebih populer di bandingkan Uangku.... sehingga memudahkan proses pembayaran....saya cari aplikasi uangku tidak ada di playstore...mau unduh online di luar playstore takut kena virus...",Positive,0.9972610473632812
Safa Umroh,1.0,2023-11-06 04:24:00,Saya mau review jujur. Ternyata yang memberi rating di apk ini tidak semuanya jujur. Ada kerabat dekat saya yg diajak untuk bergabung Traveloka partner ship dan akan diberikan insentif. Tapi setelah lebih dari 3 hari insentif ga dikasih dan nomor kerabat dkt sy di blok. Memang insentifny tidak seberapa. Tapi kalo cara kerjany seperti itu sama saja membohongi banyak pihak. Terimakasih,Negative,0.999829888343811
Amanda Ayu Agustin,5.0,2023-11-17 13:03:00,"Aplikasi yang bagus dan banyak promo. CS sangat ramah dan membantu cust saat menghadapi kendala, cepat dan solutif. Love banyak"" sama traveloka",Positive,0.9996987581253052
Dafamasyian,5.0,2023-11-04 08:59:00,"setelah dibandingkan dengan aplikasi lain nya Traveloka lebih baik,dengan cara pemakaian nya yg ui,mudah dan simpel,dan mempunyai fitur yang banyak dan sangat membantu",Positive,0.9996910095214844
Febby Astuti,5.0,2023-11-10 11:27:00,"Aplikasinya bagus,sangat membantu dan memudahkan pengguna ketika mau bepergian. Berpergian jadi tidak ribet harus membeli tiket dan mencari hotel,bisa beli tiket dan mencari hotel dari mana saja dan kapan saja, hotel dan armada yang ada di traveloka juga sangat recomended. Admin nya juga ramah",Positive,0.9997515082359314
Pasti Bisa,1.0,2023-11-08 09:41:00,"Tolong untuk traveloka khususnya traveloka paylater tolong untuk tidak membocorkan informasi pribadi khususnya data customer no handphone pribadi kepada pihak manapun,,baru saya ajukan pinjaman untuk menginap dan saya pun belum menginap periode bayar pun belum lewat sudah ditelepon oleh puluhan no yang tidak jelas,,harusnya data konsumen sudah dijamin oleh ojk agar tidak disebarluaskan,,untuk yang mau pakai traveloka paylater harap dipikir ulang kalau tidak mau di telpon no yang tidak jelas.",Neutral,0.9822098016738892
Sri Rahayu,5.0,2023-11-15 06:05:00,"Terimakasih traveloka, dengan adanya traveloka mempermudah kita untuk bertransaksi, lebih mudah, lebih gampang, dan lebih banyak pilihan untuk di gunakan ????????",Positive,0.9974842071533203
Diva Elviana,5.0,2023-11-11 06:20:00,"Aplikasinya bagus,banyak promo yg ditawarkan, banyak destinasi ygditawarkan, worit deh yg bingung mau jalan"" kemana buka aja traveloka dijamin gak bingung lagi. Terima kasih traveloka",Positive,0.9996546506881714
Ardian. Syah22,5.0,2023-11-05 10:53:00,"Setelah saya bandingkan dengan aplikasi lain, traveloka yg paling gampang dan mudah untuk di gunakan, fitur nya juga banyak dan membantu, aplikasi traveloka mantap",Positive,0.9997324347496033
Caesar Fattahilah,5.0,2023-11-04 06:30:00,"dengan aplikasi ini saya bisa menemukan hotel hotel hidden gem ang ada disekitar saya, serta bisa mendapatkan potongan harga yang menarik sekali. wajib diinstal bagi yang belum pernah cobaiin dan jangan khawatir payment methodenya sangat mudah sudsh tersedia diberbagai macam platfrom",Positive,0.9990628361701965
Dwi Yulianti,5.0,2023-11-10 01:22:00,Saya senang pertma kali nyoba aplikasi ini dan pesen hotel murah tp fasilitas bagus. Pertama kali ngoba nginep dihotel lewat aplikasi ini. Ngga ribet. Apa lagi banyak promo.,Positive,0.999613344669342
MELKY SALAHUDIN,1.0,2023-11-04 17:19:00,"Kalo masalah reschedul aplikasinjadi lelet, refund diperumit dan ditekan semurah murahnya, dikomplain yg jawab robot, tidak usah capek capek hubungi CS, masalah anda tidak akan menemui solusi, adanya anda tambah pusing.",Negative,0.9998620748519897
amos wang,1.0,2023-11-03 07:02:00,untuk pemesanan cepat tapi mengapa saya sering dapat harga di aplikasi lebih mahal daripada harga di tempat? terakhir kena iming2 diskon 60% tapi ternyata lebih mahal drpada harga langsung di tempat. saatnya cari aplikasi lain......,Negative,0.9996891021728516
Eka Wahyuning Putri,5.0,2023-11-17 12:19:00,Setiap beli tiket kereta dan hotel pasti di traveloka. Aplikasinya mudah digunakan dan fitur2 nya lengkap. Suka dapet diskon jugaaa ehehe,Positive,0.9996263980865479
Anni Saur rohmah,5.0,2023-11-13 11:53:00,"aplikasi traveloka sangat bagus , dan pelayanan juga ramah??top banget pokoknya mah aplikasi nya tidak mengecewakan bener"" aman dan nyaman pokoknya jangan lupa pake apliksi traveloka ya manteman????",Positive,0.9997503161430359
Riki Chandra,1.0,2023-11-15 07:48:00,"Nih aplikasi parah di kasih limit 15jt sudah di pakai jatuh tempo ajh belum bayar selalu on time, blm 1bln level turun 2 lalu limit cuma 2jt, aplikasi sampah mempermainkan orang, ga harus juga pakai paylater cuma iseng cari poin, tau kek gini lebih baik Pake Credit Card bunga 0%, ga ke paylater ini sampah bunga besar",Negative,0.9998836517333984
Pervecto Life (L),1.0,2023-11-08 09:30:00,"Tadinya saya suka traveloka. Tapi sekarang jadi benci banget. Top up saldo uangku buat beli tiket malah bilang pemeliharaan sisttem. Jadi saldi ngendep di uangku ditraveloka. Aplikasi macam apa ini, masa enggak kaya shoppe dana atau yang laen2 sih. Kalo bisa top up harusnya bisa tarik dong. BELI TIKET TENGAH MALAM MALAH PEMELIHARAAN SISTEM DAN BANK UNTUK TF JUGA CUMA MANDIRI. HADEEEEEEEEHHH JANGAN BUAT APLIKASI KALO GA BISA KASIH SOLUSI!!",Negative,0.9998161196708679
Rini Tzuyukpop,5.0,2023-11-15 05:26:00,Aplikasinya mempermudah bgtt. Jadi gak susah susah kalau pergi jauh jauh. Download Traveloka ajaaaa. Beneran bisa di percaya bgtttt. Memuaskan bintang 10 !!,Positive,0.9996622800827026
Agus Pram,5.0,2023-11-09 12:47:00,"Sangat membantu ketika mau bepergian,, tiket hotel maupun pesawat semuanya ready tinggal pilih dari kelas ""ekonom hingga bussines"" sesuai kebutuhan dan budget anda rekomended banget deh pokoknya di traveloka..",Positive,0.9993187189102173
Lenny Maay,5.0,2023-11-10 04:26:00,Aplikasi perjalanan ini luar biasa. Sangat membantu dan terpercaya dan juga selalu memberi penawaran yg cocok buat para pengguna. Maju terus traveloka.??,Positive,0.9996322393417358
Emmia Yasinta,5.0,2023-11-13 11:03:00,aplikasi yang sangat membantu dalam segala hal seperti beli tiket pesawat booking hotel bisa beli tiket kereta api tiket bus dan yang paling penting pasti tunggu-tunggu itu adalah promo yang banyak. Tidak ketinggalan juga dengan fitur yang mudah dipahami jadi perjalanan lebih mudah dengan Traveloka. Terima kasih Traveloka,Positive,0.9995750784873962
Resy Dwi Laras,1.0,2023-11-06 04:25:00,"Duh, ada grup telegram yg minta rating 5, udh dksh rating katanya mau ksh fee sampe skrg ga masuk2 feenya, udh gtu tbtb telegram saya ilang logouttt untung masih bisaa, tp semoga aja data saya ga disalah gunakan, mohon untuk develop di urus org2 kaya gini2 . Kasar pula bahasanya.",Negative,0.9998817443847656
nadila izza,5.0,2023-11-02 11:46:00,"Asli, nih aplikasi emang bener2 mudahin kita banget kalo berpegian keluar kota. Mau dadakan kaya tahu bulat kek, Insyaallah kalo ada traveloka gk bakal tidur di jalan. Apalagi kalo dapet diskon wkwkkw ?",Positive,0.9956955909729004
Seno Alamsyah,3.0,2023-11-12 10:52:00,Tolong lebih akurat lagi lokasi di petanya. Saya lihat di peta Traveloka tempat yang ingin saya tuju dan hotel tempat saya akan menginap hanya berkisar 1 km pada kenyataannya ternyata lebih dari 3 km.,Neutral,0.9993683695793152
Habib Ibrahim,5.0,2023-11-14 09:24:00,"Waaaa traveloka adalah aplikasi yang sangat bagus dan bermanfaat sekali bagi orang orang yang suka sekali pada travel ke luar negri atau dalam negri,, sebaiknya kalian semuaa segera download aplikasi terbaik inii sekarang jugaa????",Positive,0.9996019005775452
Reny Febrianti,5.0,2023-11-04 11:23:00,Traveloka emang selalu jadi yang terbaik deh. Klo soal mesen tidak gk ribet. Klo cari hotel juga lengkap dari mana aja. Cepet lagi ini yang gua cari . Semangat Traveloka,Positive,0.9996249675750732
Kyul 01,5.0,2023-11-16 06:07:00,"Aplikasi yang sangat bagus, karena ada Traveloka rencana perjalanan saya menjadi lebih efektif, dan banyak promonya jga, rekomen bgt bngtttt",Positive,0.9996825456619263
Rendy Gustiawan,5.0,2023-11-02 11:01:00,"aplikasi ini sangat bagus, dapat mempermudah beli tiket agar tidak cape² antri, banyak sekali diskon nya dan pilihan untuk liburan nya juga banyak, tunggu apalagii, ayo segera pakai traveloka",Positive,0.9997013211250305
Puja Ardana,5.0,2023-11-15 04:39:00,"Selain gratis Traveloka Points, pengguna baru aplikasi Traveloka juga akan mendapatkan diskon untuk berbagai produk Traveloka seperti diskon tiket pesawat domestik, diskon hotel, diskon tiket kereta, dan diskon produk lainnya.",Positive,0.6528921127319336
IMAS ImaS,5.0,2023-11-03 12:01:00,Traveloka aman dan mudah untuk diakses dan sangat membantu kinerja saya yang sering berlibur dan menginap biaya serta jaminan yang bagus banyak diskon2 lagi terimakasih traveloka,Positive,0.9996065497398376
Ita Pujiyanti,5.0,2023-11-12 06:51:00,Terimakasih Traveloka sangat membantu untuk mencari penginapan yg terbaik ya pakai Traveloka semua info ada disini lengkap.. Mau traveling terbaik ya hanya dengan Traveloka...,Positive,0.9995728135108948
Sur yadi,5.0,2023-11-04 04:22:00,Aplikasi Ini sangat praktis dan membantu ketika kita ingin bepergian jauhh dan hendak mencari tiket pesawat ataupun kereta pokoknya sangat baguss dan puas banget pake Traveloka.,Positive,0.9997153878211975
Sahrul Rul,5.0,2023-11-17 12:17:00,"Apk nya bagus pilihan wisatanya banyak dan banyak promo yang ditawarkan juga.dan kalau kalian mendadak tidak jadi berangkat ada fitur reschedul, jadi kalian jangan khawatir. terimakasih",Positive,0.9995924830436707
adi mardiawan,2.0,2023-11-17 11:59:00,Virtual number tiba tiba tidak bisa dipakai padahal aku bayar selalu tepat waktu dan sering bertransaksi pakai traveloka.tp knp tiba tiba tidak bisa d gunakan,Positive,0.8787727355957031
LMP,1.0,2023-11-04 00:33:00,"Saya kecewa sama aplikasi Traveloka, penerbangan saya di tunda 1 hari oleh maskapai lion air padahal saya udh dtng 2 hari sebelum berangkat. jadi saya gak jd berangkat. Saya refund tp saya cuma di kembalikan setengah dari harga tiket. Seharusnya full dong ,itu juga saya harus nunggu 14 hari biar uang kembali. Kecewa banget",Negative,0.9998842477798462
uci nelfita,4.0,2023-11-09 01:03:00,Sebulan terakhir tidak bisa digunakan.. padahal langganan beli tiket pesawat disini ..terdapat masalah koneksi ...padahal jaringan bagus terus,Positive,0.6673048138618469
Dn Al Azril 23,5.0,2023-11-17 05:38:00,"Aplikasi yg bagus, sangat membantu. Terutama yg ingin bepergian. Jadi tidak usah repot² kesana kesini. ???? Mudah²an semakin berkembang. Good job. ????",Positive,0.9995112419128418
Dani Saputra,4.0,2023-11-02 09:28:00,Cukup puas dulu menggunakan travoloka tetapi kenapa sekarang kok susah cari tiket pesawat kok halaman nya ngk ada yg kebuka malah suruh nginstal ulang apk nya mohon di perbaiki secepat nya,Negative,0.9983794689178467
Naya Dewilestari,5.0,2023-11-13 05:39:00,"Aplikasi yang menjanjikan bagus cepat dan simple, banyak promo menarik juga sangan recomended buat kalian yang suka jalan jalan tapi gamau ribet.",Positive,0.9990934133529663
andi makkareso,5.0,2023-11-15 05:21:00,"Aplikasi ini membuat saya lebih memahami lagi soal daerah"" Mana saja yang ada diindonesia yang memiliki wisata yang populer dan bagus buat jalan"" Bareng keluarga... Terima kasih",Positive,0.9996565580368042
chaca afinda,1.0,2023-10-06 11:57:00,"sangat merugikan customer dengan adanya paylayter , padahal bayar selalu sebelum jatuh tempo dan gak pernah telat terus payment nya tapi kenapa tiba2 skor dan limit malah turun drastis dari platinum sampe ke bronze dan virtual number juga jadi tidak ada limitnya , tolong kalo mau turun kan limit dan skor liat yg mana bener2 orang bayar tepat waktu gak pernah telat sama orang yg telat terus bayarnya , ini bayar selalu sebelum jatuh tempo malah kena dampak nya , udah mau BANGKRUT APA?",Negative,0.9998477697372437
Dewi Sartika,5.0,2023-11-06 08:54:00,"Sangat membantu saya ketika mau pesan tiket dll, caranya juga ga ribet pokoknya mudah. terus buat claim tiket dimana pun juga ga ribet. thanks Traveloka.",Positive,0.9994080066680908
Annisa Shalsabilla Putri,5.0,2023-11-14 05:49:00,"Aplikasinya luar biasa bagus, banyak promo yang disediakan dan juga tampilannya sederhana memudahkan pengguna sewaktu menggunakan aplikasi ini, top!",Positive,0.9996026158332825
yayan suryana,5.0,2023-11-10 05:35:00,Aplikasi yang sangat berguna untuk melakukan perjalanan bisnis dan liburan karena dapat menghemat waktu dalam pemesanan tiket baik transporasi maupun penginapan.,Positive,0.9996210336685181
Frilla Katulistyana,5.0,2023-11-08 05:42:00,"Sangat membantu sekali , dan juga lebih mudah untuk cari tiket pesawat kemanapun gak pake ribet harga pun kompetitif.",Positive,0.9991632699966431
story ind,5.0,2023-11-02 10:29:00,Aplikasi traveling paling recommended dari semua aplikasi yang ada. Dari dulu udah pakai Traveloka karena simple dan gampang banget pembayarannya,Positive,0.9996466636657715
alifah zalfa,5.0,2023-11-03 07:40:00,"Sangat baik, perjalanan jadi lebih mudah, langsung satsetsatset, baik sekaliiiiiiiiiiiiiii, ga nyesel pake aplikasiii iniiiii, suksessss",Positive,0.9995094537734985
muhammad Lutfi alviano,5.0,2023-11-11 06:45:00,"Bagus aplikasi nya dan mudah digunakan apalgi bagi saya yang perantau, bisa untuk cek tiket pesawat maupun kereta api saat pulang , dan gk repot lgi harus antri tiket lagi",Positive,0.9992770552635193
Siti Nuraeniah,5.0,2023-11-05 04:24:00,"Booking hotel, pesan tiket kereta, pesawat, dll jadi lebih mudah menggunakan traveloka, ditambah ada voucher diskon jadi lebih murah dibanding beli langsung di tempat.",Positive,0.9992495179176331
fernida lia pramitha,5.0,2023-11-03 10:20:00,"Traveloka apk yg sangat membantu untuk segala jenis perjalanan, tour, atau holiday promo2nya juga banyak dan Traveloka sekarang juga membantu dalam mencari makanan",Positive,0.9992220401763916
Eko Setiawan,5.0,2023-11-09 12:36:00,"Aplikasi perjalanan ini sangat bagus, memungkinkan masyarakat dengan mudah mencari informasi tiket pesawat, hotel dan lainnya, dan semoga diperbaiki dalam hal pembayaran.",Positive,0.9995972514152527
Tiny Wahyuni,5.0,2023-11-07 04:30:00,"Adanya apk ini sangat membantu saat pergi kluar kota, mempermudah saya mecari tempat hotel terdekat dan mencepat transaksi.",Positive,0.999624490737915
walet central,5.0,2023-11-15 10:10:00,Sangat membantu untuk yang suka traveling karena lengkap bisa pesan tiket pesawat dan hotel jadi mempermudah serta banyak promo menarik. sukses selalu buat Traveloka,Positive,0.9994744658470154
Elok Tri Wahyuni,5.0,2023-11-14 11:50:00,"pilihanku hanya traveloka, walaupun ada yang lain2. pencariannya mudah dan banyak sekali penawaran kupon hotel dan tiket kereta maupun pesawat??????",Positive,0.752031147480011
Fadiaturohmah,5.0,2023-11-08 04:38:00,Proses pemesanan yang mudah Banyak pilihan Banyak promo menarik Kemudahan akses pembayaran Garansi dan asuransi perjalanan yang oke,Positive,0.7979775667190552
Gita Agustina,5.0,2023-11-15 10:18:00,Aplikasi sangat bagus sangat membantu dalam mencari tempat untuk istirahat atau penginapan atau untuk bulan maduh rekomendasi banget,Positive,0.9997016787528992
Firman Hidayatullah,5.0,2023-11-06 22:04:00,"Aplikasi yang sangat membantu sekali untuk travelling, paket lengkap pokoknya, tiket pesawat, bus/shuttle, kereta, hotel dll nya. Jd g perlu khawatir dan ribet lagi ketika kita melakukan travelling ke tempat wisata yang kita tuju dengan traveloka ini.",Positive,0.9996310472488403
agung purwo susilo,1.0,2023-10-29 08:38:00,"Pembayaran ribet, saldo uangku entah kemana. Saya berusaha membuat pesanan lewat traveloka tidak ada opsi pembayaran lewat transfer (transfer bank hitam semua tidak bisa diklik), satu satunya saran pembayaran lewat uangku. Setelah saya transfer lewat uangku (yang tidak bisa di install di android versi terbaru). Ternyata uang malah hilang dan traveloka gak mau bertanggung jawab..",Negative,0.9998564720153809
Andicky Adila,5.0,2023-11-17 09:22:00,"Terimakasih Traveloka atas terbuatnya aplikasi ini, sangat bermanfaat ketika ingin berpergian kemanapun dan dimanapun. ??",Positive,0.9996839761734009
Barre Hasdiransyah,1.0,2023-11-10 06:11:00,"Refun mana, ini sudah mencapai 6 hari, data sudah saya kirim lengkap, tapi mana respon nya, balik lagi balik lagi, ga ada solusinya, kacau banget cs nya?",Negative,0.99988853931427
Stianti Kawani,1.0,2023-11-09 08:45:00,Saya pesen tiket lewat paylater. di batalkan sama maskapai. Trus pas mau jatuh tempo di tlp agen traveloka suruh bayar cicilan padahal lagi ngurus refund. banyak bohongnya tuh orang2. Katanya suruh bayar dulu aja ntar duitnya di kembalikan. Eh padahal mah yg di kembalikan cuma seiprit. Yang batalkan maskapai kenapa saya yang nanggung kerugian yak????,Negative,0.9998558759689331
Ulya Asha,5.0,2023-11-14 08:57:00,"Sangat membantu banget buat bepergian. Paling bisa diandalkan pokoknya. Urusan pergi2 darat,laut,udara dan semua destinasi terlengkap ya di traveloka",Positive,0.9992431402206421
Leni Febriyanti,5.0,2023-11-11 23:02:00,"Puas dengan aplikasinya, sangat dibantu sampai selesai ketika ada masalah saat pesan hotel. Terima kasih Traveloka semoga semakin jaya",Positive,0.9989264607429504
Witri Septia Ningrum,5.0,2023-11-08 08:10:00,"Udah si, ini tuh udah jadi aplikasi yang paling favorit kalau mau jalan2 kemanapun jadi mudah, tiket transportasi gampang, mau nyari hotel di beberapa kota juga tinggal klik klik langsung jadi deh bookinganya, favorit bangetttt",Positive,0.9987658262252808
Bodong Bodong,5.0,2023-11-01 09:49:00,"Aplikasi ini bagus sangat mempermudah masyarakat untuk membeli tiket, tidak perlu cape cape untuk antri. Yang paling keren si disini banyak diskonnya ditambah pilihan paket liburan yang sangat banyak.",Positive,0.9997379183769226
Julia Eka Putri,1.0,2023-11-14 16:08:00,refund saya tidak masuk ke rekening sya. padahal keterangannya ditutup dengan dana sudah di transfer ke rekening. di chat balasnya lama sekali dan berbelit-belit. kembalikan uang saya!,Negative,0.9998639822006226
Puspita Dian,5.0,2023-11-14 11:45:00,"Aplikasi yang sangat bagus , memudah kan pengguna untuk memesan tiket pesawat, hotel, tempat wisata, Fiturnya juga mudah dan nyaman digunakan..",Positive,0.9997311234474182
