Reviewer_Nationality,Review_Date,review,Reviewer_Score,clean_review,neg,neu,pos,compound,sentiment
 United Kingdom ,2017-08-02, Access was a little tricky due to local construction works in the area but these did not adversely impact on my journey time or cause any noise issues inside the hotel   Excellent value for money Friendly staff lots of amenities a broad range of dining options a Spa downstairs all just a stone s throw from Canary Wharf Have already recommended this to family friends for last minute work stopovers short breaks in case they need to stay in this part of London ,8.8,access little tricky due local construction work area adversely impact journey time cause noise issue inside hotel excellent value money friendly staff lot amenity broad range dining option spa downstairs stone throw canary wharf already recommend family friend last minute work stopover short break case need stay part london,0.052,0.699,0.25,0.9168,positive
Other,2017-08-02,  the location is good which is near to the train station the bedroom was big we were booking room without window but the hotel gave us a big room with window without charge ,9.2,location good near train station bedroom big booking room without window hotel give big room window without charge,0.0,0.854,0.146,0.4404,positive
 United Kingdom ,2017-08-02, The staff were not at all welcoming I would go so far as to say jaded if not unhappy at obe point seen arguing with a customer in front of customers The double bed I selected wasn t a double bed at all but two single beds zipped together and very poorly and uncomfortably at that So cheap Such a bad sleep There were mice scurrying around all over the property in full view of customers from the main lobby to near the dining and bar areas to inside my room where I saw mice on two occasions during my stay The room itself had too much wear and tear with walls visibly stained marked and damaged and the toilets showing mould in the shower Totally careless I asked for a non smoking room but the room I got reeked of smoke everywhere from the curtains to the toilet So bad I want a full refund   Just the convenience ,3.8,staff welcome would go far say jaded unhappy obe point see argue customer front customer double bed select double bed two single bed zip together poorly uncomfortably cheap bad sleep mouse scurry around property full view customer main lobby near din bar area inside room saw mice two occasion stay room much wear tear wall visibly stain mark damage toilet show mould shower totally careless ask non smoking room room get reeked smoke everywhere curtain toilet bad want full refund convenience,0.263,0.684,0.054,-0.9686,negative
 United Kingdom ,2017-08-02, The lifts were badly adjusted with dangerous gaps between the leading edges og the car doors   Great location and spacious room but the whole place looks a bit tired ,7.5,lift badly adjust dangerous gap lead edge og car door great location spacious room whole place look bit tired,0.323,0.532,0.145,-0.6124,negative
Other,2017-08-02, Parking was horrible The parking garage is very narrow and we drove in and out again when noticng it was full Near the entrance of the garage there were 3 members of staff walking around who did not inform anyone At least 4 other cars behind us drove in and back out again Then I walked up to ask where else we could park in the area and were told to just check out all the side streets and park there Then we drove around to find out that all parking there is for residents only After 30 minutes or so when then parked at the westferry circus garage which is a 10 minute walk away Since the garage did not mention maximum duration of parking we On the hotel itself the furnishings are a little outdated The carpets on the stairs for instance are quite worn Wifi did not work There was a card in the room with details but the network could not be found on either of the phones we had with The room itself was nice and clean Beware of the shower Water pressure is very good but the screen in front of the bath is fairly small so if you do not twist the shower head to the wall for an inch or so the whole bathroom will get wet The head is fixed to the wall and people over approx 1 85 m will not be able to stand under without squatting a little If I would have paid full price for this hotel frankly I would have been very disappointed Comparing to some 3 and 4 star hotels in London I have visited this hotel is more a 3 than a 4 star based on room comfort staff and parking   The room was perfectly fine Nothing specifically that stood out We had the luck of finding a very good deal via booking com Location is very convenient It is a 10 minute walk to Canary wharf station where you can take either underground or DLS Better even is the water bus which does not get so crowded and the air not so stifling If you are not in a rush and enjoy seeing the sights from the Thames this is one of the best ways to travel into the city ,7.1,park horrible parking garage narrow drove noticng full near entrance garage member staff walk around inform anyone least car behind drive back walked ask else could park area tell check side street park drive around find parking resident minute park westferry circus garage minute walk away since garage mention maximum duration park hotel furnishing little outdated carpet stairs instance quite worn wifi work card room detail network could find either phone room nice clean beware shower water pressure good screen front bath fairly small twist shower head wall inch whole bathroom get wet head fix wall people approx able stand without squat little would pay full price hotel frankly would disappoint compare star hotel london visited hotel star base room comfort staff park room perfectly fine nothing specifically stand luck find good deal via book com location convenient minute walk canary wharf station take either underground dl well even water bus get crowd air stifle rush enjoy see sight thames one best way travel city,0.075,0.773,0.152,0.9414,positive
Other,2017-08-02, Every part of this stay was horrendous From start to finish When we arrived the sockets did not work so could not charge our phones before heading out for dinner The room was dirty I Woke up in the morning to the bathroom flooded water had come all the way out to the room wetting bags shoes toiletry bags etc Could not get reception on phone for ages Nobody came to clean the mess could not get hold of a GM breakfast was awful Dry toast was all we could stomach eating as place was so dirty Needless to say we are in process of looking for a full refund from the hotel   Nothing,2.5,every part stay horrendous start finish arrive socket work could charge phone head dinner room dirty wake morning bathroom flood water come way room wetting bag shoe toiletry bag etc could get reception phone age nobody come clean mess could get hold gm breakfast awful dry toast could stomach eat place dirty needless say process look full refund hotel nothing,0.21,0.752,0.038,-0.9081,negative
 United Kingdom ,2017-08-02, NOTHING  We liked everything about this hotel and was so so pleased you still have smoking rooms so good as my partner didn t have to leave me to go outside for a smoke and in the morning we were able to enjoy leisurely having our first coffee relaxing as he was able to have his cigarette This was our second trip to this hotel and will definitely be back,10.0,nothing like everything hotel please still smoke room good partner leave go outside smoke morning able enjoy leisurely first coffee relax able cigarette second trip hotel definitely back,0.086,0.548,0.365,0.8931,positive
 United Kingdom ,2017-08-02, Bathroom could of been to a better standard but everything in the bathroom did work perfectly fine   I loved the Asian theme and the class of the hotel ,8.3,bathroom could better standard everything bathroom work perfectly fine love asian theme class hotel,0.0,0.433,0.567,0.9201,positive
Other,2017-08-02, The phone wasn t working in the room The steam room was out of action They the Sheff wasn t there to make sandwiches all day on menu there was no body there to do the massage in spa And when I mentioned my concerns to the staff and management they seemed not bothered about the issues Or to give a solution All round I think the the management and staff need to listen to the guests You can t offer these facilities without providing them   It had a car park,5.4,phone work room steam room action sheff make sandwich day menu body massage spa mention concern staff management seem bothered issue give solution round think management staff need listen guest offer facility without provide car park,0.06,0.881,0.06,0.0,neutral
 United Kingdom ,2017-08-02, Nothing it was great   We were offered a free upgrade on our room as the hotel was pretty empty Staff were friendly The views were excellent and we had a great time Barman was really great too ,10.0,nothing great offer free upgrade room hotel pretty empty staff friendly view excellent great time barman really great,0.417,0.29,0.293,-0.508,negative
 United Kingdom ,2017-08-02, Hotel is very tired and overpriced for what it is Needs knocking down and replacing or complete renovation Beds poor with thin mattresses 2 singles pushed together to be a double etc  ,4.2,hotel tire overpriced need knock replace complete renovation bed poor thin mattress single push together double etc,0.162,0.838,0.0,-0.4767,negative
 United Kingdom ,2017-08-02, The room I had could do with a bit of a spruce up especially the the en suite bathroom However it was all clean The Pizzeria in the hotel served very poor food The Indian retaurant in the hotel served deceent food   The hotel in general was absolutely fine for a 2 night stay ,7.5,room could bite spruce especially en suite bathroom however clean pizzeria hotel serve poor food indian retaurant hotel serve deceent food hotel general absolutely fine night stay,0.097,0.753,0.15,0.1761,positive
 United Kingdom ,2017-08-02, As above  AC make noise if you put it on 2 so either 1 or 3 even on 3 and temp 17 5 still warm Short of staff so you have to que to check in Expensive Wifi after 30 min free Location isolated and no way 1 9 miles from O2 arena unless you go swimming so wrong info ,4.2,ac make noise put either even temp still warm short staff que check expensive wifi min free location isolate way mile arena unless go swim wrong info,0.148,0.695,0.157,0.0772,neutral
Other,2017-08-02, WiFi is not for free which felt a bit like early 2000 s  Old hotel which would require serious refurbishment Room was tidy and since the price was so low for London it was okay with me ,5.0,wifi free felt bit like early old hotel would require serious refurbishment room tidy since price low london okay,0.135,0.558,0.307,0.6486,positive
 United Kingdom ,2017-08-02, The fire alarm went off and no one said anything i wasnt sure if i needed to get out or not but by the time i put my clothing back on from swimming the alarm atopped so i stayed in my room also when i went swimming noe one told me i had to sign in this is something reception shld have told me whn i checked in as i did ask her the swimming times  Looked stylish waa clean but needs a little refurbisging as couls see carpets getting old bathroom corners looking mankie bath plug dont work properly be nice to have a small fridge to put our drinks in,7.5,fire alarm go one say anything wasnt sure need get time put clothe back swim alarm atopped stayed room also go swim noe one tell sign something reception shld tell whn check ask swimming time look stylish waa clean need little refurbisging couls see carpet get old bathroom corner look mankie bath plug dont work properly nice small fridge put drink,0.166,0.795,0.039,-0.7779,negative
 United Kingdom ,2017-07-29, Staff Those of you with poker faces you should smile more you should ask a guest whether is in a need of help with luggage not just whether he she wants to pay in advance for breakfast or open an account with you or whether would prefer a more expensive room Also saying good morning and good evening to your guests once in a while is good manners Looking like a gentleman won t make you one after all it s not everything in life about money Wifi Rooms with windows at an extra charge of 20 pounds day Taxi companies you co operate with that instead of 5 mins they turn up in 35 It s not your fault entirely but most definitely not your guests   Location was good Bed was very comfortable Decent facilities,5.8,staff poker face smile ask guest whether need help luggage whether want pay advance breakfast open account whether would prefer expensive room also say good morning good evening guest good manner look like gentleman make one everything life money wifi room windows extra charge pound day taxi company co operate instead mins turn fault entirely definitely guests location good bed comfortable decent facility,0.05,0.622,0.328,0.9674,positive
 United Kingdom ,2017-07-28,  I have been staying at this hotel for 15 years Unfortunately the price is often far too high I have several August and September visits to London Your price should be less than 100 But it s far higher I like this hotel but you are pricing me out ,8.8,stay hotel year unfortunately price often far high several august september visit london price less far high like hotel pricing,0.106,0.795,0.099,-0.0422,neutral
 United Kingdom ,2017-07-27,  The bed was very comfy the view was ok work was being carried out nearby but we didnt hear it until about 9ish Very good for travelling as the canary wharf tube was a 5 min walk away ,10.0,bed comfy view ok work carry nearby didnt hear good travelling canary wharf tube min walk away,0.123,0.765,0.112,-0.0531,neutral
Other,2017-07-26, There was no toilet brush The bathroom was generally threadbare There was no ability to tightly close the window therefore it was very cold in the night Also guests next door were pretty loud   The window view was wonderful I like the hotel interior design ,5.0,toilet brush bathroom generally threadbare ability tightly close window therefore cold night also guests next door pretty loud window view wonderful like hotel interior design,0.0,0.642,0.358,0.8934,positive
 United Kingdom ,2017-07-26, Hotel and staff a little sad need a bit of updating sprucing up Lovely to have a pool but the whole area was not very clean and needs more than a lick of paint   Great location is it s redeeming feature,5.4,hotel staff little sad need bit updating spruce lovely pool whole area clean need lick paint great location redeeming feature,0.095,0.544,0.36,0.8313,positive
Other,2017-07-26, The rooms did not look like the ones on the picture I had to change rooms because the first one was not what I expected Booked two single beds however the beds were only one armlength apart The closet door was broken Whn I asked the receptionist about the room on the pictures displayed on booking com I was told that those rooms do not exist Staff was friendly enough to over us a different room which was okay The furnishing was really outdated I was shocked that this is supposed to be a four star hotel There was no air conditioning in the room While it was only 15 C outside the roomtemperature was around 28 5 C Turning on the air ventilation was in vain and also incredibly loud   Close to Canary Wharf You will find a lot of shopping malls Close to the DLR and Underground Staff was very friendly I guess the price is rather cheap considering the location and the surrouding area ,5.8,room look like one picture change room first one expect book two single bed however bed one armlength apart closet door broken whn ask receptionist room picture display book com tell room exist staff friendly enough different room okay furnish really outdated shock suppose four star hotel air condition room outside roomtemperature around turn air ventilation vain also incredibly loud close canary wharf find lot shopping mall close dlr underground staff friendly guess price rather cheap consider location surrouding area,0.095,0.789,0.117,0.2551,positive
 United Kingdom ,2017-07-25, The angle of the TV was a bit annoying it was postioned facing away from the bed which I thought to be very strange The bathroom floor was quite slippy I nearly slipped and died The room was so hot too The air con just didn t do it any justice We couldn t feel it at all Due to the old fashioned theme of the hotel I believe they could probably upgrade the air con and possibly modernise it a bit more The armchairs though comfortable did have a huge rip down the back of it which I thought was a bit crude considering the location and the amount of visitors they must have   The room was very spacious the window across the room made it light and airy and it was very welcoming The bathroom was very modern and there were mirrors everywhere making it even more spacious The bed was comfy the armchairs also The room was clean and well maintained The location of the hotel was fabulous and great value for money considering it is in the area of canary wharf The room was also cosy and old fashioned which considering the exterior made it feel homely inside The receptionist due to a fault with my booking upgraded me to a bigger room which I thought was very nice of her and she was very friendly even though I wasn t in the best of moods The room also had a great dressing room table with loads of space and a great mirror to make myself look half decent which was fab ,7.9,angle tv bit annoy postioned face away bed thought strange bathroom floor quite slippy nearly slip died room hot air con justice feel due old fashioned theme hotel believe could probably upgrade air con possibly modernise bit armchairs though comfortable huge rip back thought bit crude consider location amount visitor must room spacious window across room make light airy welcoming bathroom modern mirror everywhere make even spacious bed comfy armchair also room clean well maintain location hotel fabulous great value money consider area canary wharf room also cosy old fashion consider exterior make feel homely inside receptionist due fault book upgraded big room think nice friendly even though best mood room also great dress room table loads space great mirror make look half decent fab,0.088,0.626,0.286,0.9865,positive
Other,2017-07-21, Rooms on the first floor do not have air conditioning Our rooms were unbearably hot Breakfast was poor   Good location a short walk from the shops restaurant and public transport of canary wharf ,5.0,room first floor air condition room unbearably hot breakfast poor good location short walk shop restaurant public transport canary wharf,0.129,0.75,0.121,-0.0516,neutral
 United Kingdom ,2017-07-21, Walking access from the train station was convoluted because of building works   The room was spacious and comfortable the staff were helpful in finding a room for us as ours wasn t ready We only stayed one night and left early next day so didn t use any of the facilities ,8.3,walk access train station convolute building work room spacious comfortable staff helpful finding room ready stay one night leave early next day use facility,0.04,0.671,0.289,0.8126,positive
Other,2017-07-21, The build is not a new infraestructure the room was old fashion   Big hotel with a lot of facilities in a good location in order to visit London in a few days,7.1,build new infraestructure room old fashion big hotel lot facility good location order visit london day,0.0,0.838,0.162,0.4404,positive
Other,2017-07-20, There was no water in the complimentry tray with tea and coffee There is NO fridge Carpet are old and smelly WiFi not available in rooms No free parking  ,4.2,water complimentry tray tea coffee fridge carpet old smelly wifi available room free parking,0.0,0.798,0.202,0.5106,positive
 United Kingdom ,2017-07-20, At breakfast not shown to table or offered tea or coffee Tables filthy standard of food appalling had a few mouthfuls and left Check out only one person checking guests out as another left to work in back office Not asked about my stay and not interested in me as a customer or future business Does not compare to the Hilton Group   Room cleanliness good,5.0,breakfast show table offer tea coffee table filthy standard food appal mouthful leave check one person check guest another leave work back office ask stay interested customer future business compare hilton group room cleanliness good,0.062,0.795,0.144,0.6369,positive
Other,2017-07-20, Hotel very tired don t see how it can be classed as 4star room ver hot no airconditon no windows in some rooms  Convince to transport and restaurant,4.6,hotel tire see classed room ver hot airconditon windows room convince transport restaurant,0.0,0.857,0.143,0.25,positive
 United Kingdom ,2017-07-19, Staff achieved the bare minimum of helpfulness but no desire to add value or go the extra mile Room was mostly clean but glasses in bathroom and and other objects were dusty   Location aesthetic ,6.3,staff achieve bare minimum helpfulness desire add value go extra mile room mostly clean glass bathroom object dusty location aesthetic,0.0,0.599,0.401,0.8658,positive
Other,2017-07-18, Bathroom was old dirty and dated The basin did not work and the shower which was incorporated in the bath did not work well The breakfast was awful the coffee tasted bad the bacon smelt off there was little choice no continental option or very little the food looked unappealing and stale The cutlery plates and cups were dirty and felt greasy I tried to eat but felt distgusted and bought breakfast outside the hotel   Location,5.8,bathroom old dirty date basin work shower incorporate bath work well breakfast awful coffee taste bad bacon smelt little choice continental option little food look unappealing stale cutlery plat cup dirty felt greasy tried eat felt distgusted buy breakfast outside hotel location,0.239,0.72,0.041,-0.8807,negative
 United Kingdom ,2017-07-18, We couldn t stay all night as parking was full and there wasn t any parking nearby A quick call to reception for advise was unhelpful as they advised it was unsafe to park anywhere else The hotel parking on its own did not seem too secure either There is no access from the parking levels straight into the hotel pedestrians have to walk up and down the same way as cars go which is risky and a tad inconvenient too   To be frank nothing wowed me about the hotel The entrance is good but you enter via filthy doors and a very busy and unwelcoming reception ,3.8,stay night park full parking nearby quick call reception advise unhelpful advise unsafe park anywhere else hotel park seem secure either access parking level straight hotel pedestrian walk way car go risky tad inconvenient frank nothing wowed hotel entrance good enter via filthy door busy unwelcoming reception,0.129,0.741,0.13,0.0196,neutral
 United Kingdom ,2017-07-18, Beds not comfy tried to charge us 20 night to upgrade to a room with windows when we had a room with windows anyway Booked a double room and given a twin room with 2beds pushed together complained changed room to a double Rooms very dated and old  ,4.2,bed comfy tried charge night upgrade room windows room windows anyway book double room give twin room push together complain changed room double room date old,0.091,0.909,0.0,-0.3612,negative
Other,2017-07-17, Cumbersome check in process poor wifi connectivity quality of breakfast should be better it should have a separate breakfast room or serving point for large groups of travelling children   Location Fitness facilities,7.1,cumbersome check process poor wifi connectivity quality breakfast well separate breakfast room serve point large group travel child location fitness facility,0.123,0.711,0.166,0.0258,neutral
 United Kingdom ,2017-07-17, Breakfast was rubbish with the restaurant more like a canteen in Butlins   Not a lot to be honest It was just an average hotel in London and I would not stay there again ,4.0,breakfast rubbish restaurant like canteen butlins lot honest average hotel london would stay,0.0,0.655,0.345,0.7003,positive
Other,2017-07-16, The room was shabby with worn carpet and furniture The bed was uncomfortable The breakfast was disorganised and not of a quality that would be expected of a large city hotel Wifi was not really usable due to 20min per day Having to pay extra for hotel facilities eg pool   The public areas of the hotel were ok The room was quiet ,5.8,room shabby worn carpet furniture bed uncomfortable breakfast disorganised quality would expect large city hotel wifi really usable due per day pay extra hotel facility eg pool public area hotel ok room quiet,0.166,0.775,0.059,-0.4588,negative
Other,2017-07-16, Extremely disappointing No free Internet in room and you have to pay for every device you want connected once per day The breakfast buffet was not good For example the yogurt had the consistency of water The room itself had cracked yellow water stained drywall or plaster ceiling Sink didn t drain A C somewhat worked but the vent was almost plugged with dust They staff was definitely not very friendly but did their job adequately You ll survive a stay here but you aren t likely to particularly enjoy it I ve stayed at many roadside motels over the years that were cleaner nicer and a way way better value This is not a 4 star hotel experience If you arrive with the mindset that it s a place to sleep and won t be eating there won t need Internet won t spend any time in your room and don t sweat small stuff like a sink that won t drain it will be okay Otherwise probably try somewhere else   It was relatively affordable but NOT worth the price There was nothing that I can think of that we liked about the property ,3.8,extremely disappointing free internet room pay every device want connect per day breakfast buffet good example yogurt consistency water room crack yellow water stain drywall plaster ceiling sink drain somewhat worked vent almost plug dust staff definitely friendly job adequately survive stay likely particularly enjoy stay many roadside motel year cleaner nice way way well value star hotel experience arrive mindset place sleep eat need internet spend time room sweat small stuff like sink drain okay otherwise probably try somewhere else relatively affordable worth price nothing think like property,0.043,0.647,0.31,0.9778,positive
 United Kingdom ,2017-07-16, It was very old fashioned and tired looking in many areas Would definitely benifit from a refit The shower in our room was very basic and sprayed all over the place which was very annoying while trying to get ready The plug socket nearest to the bed was an original fitting and so couldn t actually be used with a modern plug Very basic overall rough around the edges   Location was very good Easy to find and very close to the tube station We booked a room without a window but to our surprise on arrival the room we were allocated had a large window with a pleasant view of the river and london landmarks The late night in house pizzeria came in handy ,6.7,old fashion tire look many area would definitely benifit refit shower room basic sprayed place annoy try get ready plug socket near bed original fitting actually use modern plug basic overall rough around edge location good easy find close tube station book room without window surprise arrival room allocate large window pleasant view river london landmark late night house pizzeria come handy,0.062,0.701,0.237,0.9039,positive
 United Kingdom ,2017-07-16, The rooms aircon was noisy and not very effective The view was a aircon unit upon a roof and the whole experience made me feel I was back in the 80 s We stopped there as I was attending a conference at The Excell Centre and when I typed in hotels close to the Docklands it bought this one up It was close to the other side of the Docklands which then still cost us 15 in a cab to reach Shame as booking com have let themselves down with this hotel  ,5.4,room aircon noisy effective view aircon unit upon roof whole experience make feel back stop attend conference excell centre type hotel close docklands buy one close side docklands still cost cab reach shame book com let hotel,0.162,0.741,0.097,-0.4215,negative
 United Kingdom ,2017-07-16, Unfortunately the rooms are a bit dated and the carpet could have been cleaner as there were stains on it   The room was very spacious and the buffet breakfast was good with plenty of choices to choose from a light breakfast to the full English It s also a good location as you are only about 15mins into the City of London and about 10mns from Greenwich where I was visiting I didn t have much interaction with the staff but when I checked in the girl was very nice and helpful It was good value for money ,7.5,unfortunately room bit dated carpet could cleaner stain room spacious buffet breakfast good plenty choice choose light breakfast full english also good location city london greenwich visit much interaction staff check girl nice helpful good value money,0.048,0.582,0.369,0.9325,positive
Other,2017-07-15, Hotel staff was not cooperating at all Beds were separated Spring Mattress were paining in back like hell Bathroom sinks were choked Had to brush in Bath tubs Cleaning staff was pathetic Swimming pool was chargeable Internet wi fi was free for a whole 20 minute session in whole day and that too in hotel lobby and not in room Overall the property was not value for money at all and staying there was a nightmare  ,2.9,hotel staff cooperate bed separate spring mattress pain back like hell bathroom sink choke brush bath tub clean staff pathetic swimming pool chargeable internet wi fi free whole minute session whole day hotel lobby room overall property value money stay nightmare,0.255,0.541,0.203,-0.7269,negative
 United Kingdom ,2017-07-14, The room had no air conditioning and the windows don t open and the heat was well in the 20c all night building work a few yards off the building so the windows are dirty staff very good   Room clean location first class breakfast good for the price,7.9,room air condition window open heat well night build work yard build window dirty staff good room clean location first class breakfast good price,0.089,0.585,0.326,0.7717,positive
 United Kingdom ,2017-07-14, No air conditioning in rooms When paying over 100 a night you would expect air con However the room did have a little fan to help blow the hot air around the room Also I left some expensive items in the bathroom but when I called the next day the receptionist informed me nothing was handed in Can t say surprised but very disappointed   Tube not ridiculously far away,4.6,air condition room pay night would expect air con however room little fan help blow hot air around room also leave expensive item bathroom call next day receptionist inform nothing hand say surprise disappointed tube ridiculously far away,0.267,0.639,0.094,-0.7281,negative
Other,2017-07-12, wifi was a bit complicated you are allowed to use free wifi 2 times for 20 min in a day in the room if you want all day hotel requests extra money but in the lobby area it was free so people were sitting in the lobby area on the evenings   we have booked a non window room due to cheap price but while check in hotel offered a new room with window and no price difference room has almost everything that you may require no noise at nigths so had good sleeps during 3 days although hotel is not placed in zone1 there are 2 metro lines in 5 min walking distance so we had no transport problem ,9.6,wifi bit complicate allow use free wifi time min day room want day hotel request extra money lobby area free people sit lobby area evening book non window room due cheap price check hotel offer new room window price difference room almost everything may require noise nigths good sleep day although hotel place metro line min walk distance transport problem,0.039,0.747,0.214,0.8481,positive
Other,2017-07-12, Wifi not free after 30 mins really considering it s 2017 Electric sockets near bed side were unusable as they were 3 pin again It s 2017 the rooms need to facilitate modern technology use and ease of access Food price good but bland bland bland Poor mass produced deserts  Staff helpful Concierge excellent Reception staff male needs to understand the art of good customer service and interaction as at times came across as dismissive ,7.5,wifi free min really consider electric socket near bed side unusable pin room need facilitate modern technology use ease access food price good bland bland bland poor mass produce desert staff helpful concierge excellent reception staff male need understand art good customer service interaction time come across dismissive,0.05,0.659,0.291,0.9325,positive
 United Kingdom ,2017-07-12, Overpriced No good value for money   The blonde girl at reception was very kind This was when we checked in at 10 30pm on the 7th Except that nothing else ,3.8,overprice good value money blonde girl reception kind check except nothing else,0.0,0.508,0.492,0.8271,positive
 United Kingdom ,2017-07-11, Nothing  There was no water available for drinking to even buy Had to go to the local Tesco Very inconvenient Checking in was a night mare Very bad experience ,5.0,nothing water available drinking even buy go local tesco inconvenient check night mare bad experience,0.312,0.688,0.0,-0.7096,negative
 United Kingdom ,2017-07-11, She room upstairs are a bit dated and the lefts take forever to come had to use the stairs at one point   I like the space of the room the bath tab and that the water was nice and hot I stayed for a few days the cleaner was so helpful she made sure I had everything I needed ,6.7,room upstairs bit dated left take forever come use stairs one point like space room bath tab water nice hot stay day cleaner helpful make sure everything need,0.0,0.655,0.345,0.8779,positive
 United Kingdom ,2017-07-11, The staffs who were there in the morning don t use words called thank you and sorry We couldn t have breakfast because there was a very long queue When we requested for a refund for the breakfast the lady at the check out counter gave us a rude look and said non refundable A polite word would do the magic The food at the Indian restaurant was not up to the mark   The beds are comfy and the room was clean ,5.8,staff morning use word call thank sorry breakfast long queue request refund breakfast lady check counter give rude look say non refundable polite word would magic food indian restaurant mark bed comfy room clean,0.109,0.759,0.132,0.2263,positive
